klub: RB_Leipzig
sezona: 2024/2025

rbr_ulaznice rBr_utakmice datPocetka imeTimaGosti tipUlaznice datIVremeUlaska
15631 13 13/8/2024_15:30 1._FC_Köln O 13/8/2024_14:30
15892 13 13/8/2024_15:30 1._FC_Köln S 13/8/2024_14:36
15346 13 13/8/2024_15:30 1._FC_Köln S 13/8/2024_14:38
15221 13 13/8/2024_15:30 1._FC_Köln O 13/8/2024_14:45
15987 13 13/8/2024_15:30 1._FC_Köln P 13/8/2024_14:53
18312 13 13/8/2024_15:30 1._FC_Köln O 13/8/2024_15:10
14413 13 13/8/2024_15:30 1._FC_Köln O 13/8/2024_15:21
14587 13 13/8/2024_15:30 1._FC_Köln O 13/8/2024_14:58
15421 22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_14:30
15636 22 27/8/2024_15:30 VfL_Wolfsburg P 27/8/2024_14:37
15421 22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_14:30
15426 22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_14:38
15441 22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_14:50
15613 22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_14:55
15551 22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_15:10
15588 22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_15:14
16421 24 10/9/2024_15:30 Bor._Dortmund O 10/9/2024_14:31
15333 24 10/9/2024_15:30 Bor._Dortmund O 10/9/2024_14:35
13476 24 10/9/2024_15:30 Bor._Dortmund O 11/9/2024_14:38
15632 24 10/9/2024_15:30 Bor._Dortmund S 10/9/2024_14:47
15633 24 10/9/2024_15:30 Bor._Dortmund O 10/9/2024_15:01
15655 24 10/9/2024_15:30 Bor._Dortmund O 10/9/2024_15:08
14251 24 10/9/2024_15:30 Bor._Dortmund O 10/9/2024_15:10
13152 24 10/9/2024_15:30 Bor._Dortmund P 10/9/2024_15:21
15651 24 10/9/2024_15:30 Bor._Dortmund S 10/9/2024_15:32
15612 8 1/10/2024_15:30 VfL_Bochum O 1/10/2024_14:34
15098 8 1/10/2024_15:30 VfL_Bochum O 1/10/2024_14:40
15670 8 1/10/2024_15:30 VfL_Bochum O 1/10/2024_14:51
15612 8 1/10/2024_15:30 VfL_Bochum O 1/10/2024_14:34
14112 8 1/10/2024_15:30 VfL_Bochum S 1/10/2024_14:58
16521 8 1/10/2024_15:30 VfL_Bochum P 1/10/2024_14:59
16311 51 15/10/2024_18:30 Hertha_BSC O 15/10/2024_17:45
14589 51 15/10/2024_18:30 Hertha_BSC O 15/10/2024_17:47
15734 51 15/10/2024_18:30 Hertha_BSC O 15/10/2024_17:58
15982 51 15/10/2024_18:30 Hertha_BSC O 15/10/2024_17:59
15999 51 15/10/2024_18:30 Hertha_BSC P 15/10/2024_18:00
16823 26 29/10/2024_15:30 B._Leverkusen O 29/10/2024_14:46
16328 26 29/10/2024_15:30 B._Leverkusen S 29/10/2024_14:55
16182 26 29/10/2024_15:30 B._Leverkusen O 29/10/2024_15:05
15140 26 29/10/2024_15:30 B._Leverkusen O 29/10/2024_15:08
16127 26 29/10/2024_15:30 B._Leverkusen P 29/10/2024_15:23
16710 26 29/10/2024_15:30 B._Leverkusen O 29/10/2024_15:31
14982 26 29/10/2024_15:30 B._Leverkusen O 29/10/2024_15:34
14412 17 9/11/2024_20:30 SC_Freiburg O 9/11/2024_19:40
16234 17 9/11/2024_20:30 SC_Freiburg P 9/11/2024_19:58
13461 17 9/11/2024_20:30 SC_Freiburg O 9/11/2024_20:00
15623 17 9/11/2024_20:30 SC_Freiburg S 9/11/2024_20:23
